item_name,item_price
Chicken Bowl,17.5
Chicken Burrito,17.5
Chicken Bowl,17.5
Chicken Bowl,17.5
Chicken Burrito,17.5
Chicken Burrito,17.5
Chicken Crispy Tacos,17.5
Chicken Burrito,17.5
Chicken Burrito,17.5
Chicken Bowl,17.5
Chicken Burrito,17.5
Chicken Bowl,17.5
Chicken Salad Bowl,17.5
Chicken Burrito,17.5
Chicken Crispy Tacos,17.5
Chicken Salad Bowl,17.5
Chicken Burrito,17.5
Chicken Burrito,17.5
Chicken Burrito,17.5
Chicken Burrito,17.5
Chicken Burrito,17.5
Chicken Burrito,17.5
Chicken Bowl,17.5
Chicken Burrito,17.5
Chicken Burrito,17.5
Chicken Bowl,16.98
Chicken Bowl,16.98
Chicken Soft Tacos,16.98
Veggie Bowl,16.98
Chicken Bowl,16.98
Chicken Soft Tacos,16.98
Chicken Bowl,16.98
Veggie Bowl,16.98
Chicken Burrito,16.98
Chicken Burrito,16.98
Chicken Burrito,16.98
Chicken Bowl,16.98
Veggie Soft Tacos,16.98
Chicken Bowl,16.98
Chicken Bowl,16.98
Chicken Bowl,16.98
Chicken Crispy Tacos,16.98
Chicken Bowl,16.98
Chicken Bowl,16.98
Chicken Burrito,16.38
Bottled Water,15.0
Side of Chips,13.52
Chips and Guacamole,13.35
6 Pack Soft Drink,12.98
Steak Salad Bowl,11.89
Barbacoa Salad Bowl,11.89
Steak Salad Bowl,11.89
Barbacoa Salad Bowl,11.89
Barbacoa Salad Bowl,11.89
Steak Salad Bowl,11.89
Carnitas Salad Bowl,11.89
Carnitas Salad Bowl,11.89
Steak Salad Bowl,11.89
Steak Salad Bowl,11.89
Steak Salad Bowl,11.89
Carnitas Salad Bowl,11.89
Steak Salad Bowl,11.89
Barbacoa Salad Bowl,11.89
Steak Salad Bowl,11.89
Steak Salad Bowl,11.89
Steak Salad Bowl,11.89
Steak Salad Bowl,11.89
Steak Salad Bowl,11.89
Steak Salad Bowl,11.89
Steak Salad Bowl,11.89
Carnitas Salad Bowl,11.89
Barbacoa Salad Bowl,11.89
Steak Salad Bowl,11.89
Steak Salad Bowl,11.89
Steak Salad Bowl,11.89
Chips and Fresh Tomato Salsa,11.8
Steak Burrito,11.75
Steak Bowl,11.75
Steak Burrito,11.75
Steak Bowl,11.75
Steak Burrito,11.75
Steak Burrito,11.75
Steak Burrito,11.75
Barbacoa Burrito,11.75
Steak Burrito,11.75
Barbacoa Burrito,11.75
Carnitas Burrito,11.75
Steak Burrito,11.75
Barbacoa Bowl,11.75
Barbacoa Bowl,11.75
Steak Bowl,11.75
Steak Burrito,11.75
Barbacoa Soft Tacos,11.75
Steak Bowl,11.75
Steak Bowl,11.75
Steak Burrito,11.75
Barbacoa Burrito,11.75
Steak Burrito,11.75
Steak Burrito,11.75
Steak Burrito,11.75
Steak Bowl,11.75
Steak Bowl,11.75
Carnitas Bowl,11.75
Carnitas Soft Tacos,11.75
Steak Burrito,11.75
Barbacoa Burrito,11.75
Carnitas Bowl,11.75
Steak Soft Tacos,11.75
Steak Crispy Tacos,11.75
Steak Bowl,11.75
Steak Burrito,11.75
Steak Burrito,11.75
Steak Bowl,11.75
Steak Burrito,11.75
Steak Soft Tacos,11.75
Steak Burrito,11.75
Steak Bowl,11.75
Steak Burrito,11.75
Steak Burrito,11.75
Steak Bowl,11.75
Barbacoa Burrito,11.75
Steak Burrito,11.75
Steak Burrito,11.75
Barbacoa Soft Tacos,11.75
Carnitas Burrito,11.75
Carnitas Burrito,11.75
Carnitas Bowl,11.75
Barbacoa Burrito,11.75
Steak Burrito,11.75
Steak Burrito,11.75
Steak Soft Tacos,11.75
Carnitas Burrito,11.75
Steak Bowl,11.75
Steak Crispy Tacos,11.75
Steak Bowl,11.75
Barbacoa Burrito,11.75
Steak Bowl,11.75
Steak Burrito,11.75
Carnitas Bowl,11.75
Steak Bowl,11.75
Steak Burrito,11.75
Steak Bowl,11.75
Steak Bowl,11.75
Barbacoa Burrito,11.75
Steak Bowl,11.75
Steak Crispy Tacos,11.75
Steak Crispy Tacos,11.75
Barbacoa Bowl,11.75
Steak Burrito,11.75
Steak Bowl,11.75
Steak Bowl,11.75
Carnitas Burrito,11.75
Steak Burrito,11.75
Steak Burrito,11.75
Steak Bowl,11.75
Steak Burrito,11.75
Barbacoa Bowl,11.75
Steak Bowl,11.75
Steak Burrito,11.75
Steak Burrito,11.75
Barbacoa Burrito,11.75
Steak Burrito,11.75
Carnitas Burrito,11.75
Steak Burrito,11.75
Steak Burrito,11.75
Steak Bowl,11.75
Barbacoa Soft Tacos,11.75
Steak Bowl,11.75
Steak Burrito,11.75
Barbacoa Bowl,11.75
Carnitas Bowl,11.75
Steak Bowl,11.75
Steak Bowl,11.75
Carnitas Crispy Tacos,11.75
Carnitas Burrito,11.75
Steak Burrito,11.75
Barbacoa Burrito,11.75
Steak Bowl,11.75
Steak Burrito,11.75
Steak Crispy Tacos,11.75
Steak Bowl,11.75
Steak Bowl,11.75
Steak Bowl,11.75
Barbacoa Burrito,11.75
Steak Burrito,11.75
Steak Burrito,11.75
Steak Burrito,11.75
Steak Burrito,11.75
Steak Burrito,11.75
Barbacoa Burrito,11.75
Steak Burrito,11.75
Steak Bowl,11.75
Steak Burrito,11.75
Barbacoa Soft Tacos,11.75
Steak Burrito,11.75
Steak Burrito,11.75
Steak Bowl,11.75
Steak Bowl,11.75
Barbacoa Soft Tacos,11.75
Steak Burrito,11.75
Barbacoa Bowl,11.75
Barbacoa Crispy Tacos,11.75
Carnitas Burrito,11.75
Carnitas Burrito,11.75
Steak Burrito,11.75
Carnitas Soft Tacos,11.75
Steak Bowl,11.75
Barbacoa Burrito,11.75
Steak Burrito,11.75
Barbacoa Burrito,11.75
Barbacoa Bowl,11.75
Barbacoa Burrito,11.75
Barbacoa Bowl,11.75
Steak Burrito,11.75
Barbacoa Soft Tacos,11.75
Steak Burrito,11.75
Steak Bowl,11.75
Steak Burrito,11.75
Steak Burrito,11.75
Steak Burrito,11.75
Steak Burrito,11.75
Steak Burrito,11.75
Steak Bowl,11.75
Steak Bowl,11.75
Steak Burrito,11.75
Barbacoa Bowl,11.75
Steak Bowl,11.75
Steak Bowl,11.75
Steak Burrito,11.75
Steak Burrito,11.75
Steak Bowl,11.75
Steak Burrito,11.75
Steak Burrito,11.75
Steak Burrito,11.75
Steak Bowl,11.75
Steak Bowl,11.75
Barbacoa Soft Tacos,11.75
Barbacoa Crispy Tacos,11.75
Carnitas Burrito,11.75
Carnitas Bowl,11.75
Carnitas Bowl,11.75
Steak Burrito,11.75
Steak Bowl,11.75
Steak Burrito,11.75
Steak Crispy Tacos,11.75
Steak Bowl,11.75
Steak Crispy Tacos,11.75
Steak Bowl,11.75
Steak Bowl,11.75
Steak Bowl,11.75
Steak Burrito,11.75
Steak Bowl,11.75
Steak Soft Tacos,11.75
Steak Bowl,11.75
Steak Bowl,11.75
Barbacoa Bowl,11.75
Barbacoa Bowl,11.75
Steak Bowl,11.75
Carnitas Burrito,11.75
Steak Bowl,11.75
Steak Burrito,11.75
Barbacoa Burrito,11.75
Steak Bowl,11.75
Carnitas Bowl,11.75
Carnitas Bowl,11.75
Steak Crispy Tacos,11.75
Steak Bowl,11.75
Steak Bowl,11.75
Steak Bowl,11.75
Steak Burrito,11.75
Steak Crispy Tacos,11.75
Steak Bowl,11.75
Steak Soft Tacos,11.75
Barbacoa Bowl,11.75
Steak Burrito,11.75
Steak Bowl,11.75
Carnitas Burrito,11.75
Steak Burrito,11.75
Steak Burrito,11.75
Steak Burrito,11.75
Steak Burrito,11.75
Steak Bowl,11.75
Carnitas Burrito,11.75
Barbacoa Bowl,11.75
Steak Bowl,11.75
Steak Burrito,11.75
Barbacoa Bowl,11.75
Carnitas Bowl,11.75
Steak Bowl,11.75
Steak Bowl,11.75
Steak Burrito,11.75
Steak Burrito,11.75
Steak Burrito,11.75
Steak Burrito,11.75
Carnitas Soft Tacos,11.75
Steak Burrito,11.75
Barbacoa Burrito,11.75
Steak Soft Tacos,11.75
Carnitas Crispy Tacos,11.75
Steak Burrito,11.75
Steak Burrito,11.75
Carnitas Bowl,11.75
Steak Burrito,11.75
Steak Burrito,11.75
Steak Burrito,11.75
Carnitas Bowl,11.75
Steak Bowl,11.75
Steak Burrito,11.75
Barbacoa Burrito,11.75
Steak Crispy Tacos,11.75
Steak Burrito,11.75
Carnitas Burrito,11.75
Carnitas Bowl,11.75
Barbacoa Burrito,11.75
Steak Burrito,11.75
Steak Burrito,11.75
Barbacoa Burrito,11.75
Carnitas Burrito,11.75
Steak Burrito,11.75
Steak Burrito,11.75
Steak Burrito,11.75
Steak Burrito,11.75
Steak Burrito,11.75
Barbacoa Bowl,11.75
Steak Burrito,11.75
Barbacoa Bowl,11.75
Steak Crispy Tacos,11.75
Steak Bowl,11.75
Barbacoa Bowl,11.75
Steak Burrito,11.75
Barbacoa Burrito,11.75
Carnitas Bowl,11.75
Carnitas Bowl,11.75
Steak Bowl,11.75
Carnitas Burrito,11.75
Steak Bowl,11.75
Steak Burrito,11.75
Steak Bowl,11.75
Barbacoa Burrito,11.75
Steak Bowl,11.75
Carnitas Bowl,11.75
Barbacoa Bowl,11.75
Barbacoa Bowl,11.75
Steak Bowl,11.75
Barbacoa Bowl,11.75
Steak Bowl,11.75
Steak Burrito,11.75
Barbacoa Crispy Tacos,11.75
Carnitas Bowl,11.75
Steak Bowl,11.75
Steak Burrito,11.75
Steak Bowl,11.75
Steak Bowl,11.75
Steak Burrito,11.75
Carnitas Bowl,11.75
Carnitas Bowl,11.75
Steak Burrito,11.75
Carnitas Bowl,11.75
Steak Burrito,11.75
Steak Bowl,11.75
Barbacoa Bowl,11.49
Barbacoa Bowl,11.48
Barbacoa Bowl,11.48
Barbacoa Burrito,11.48
Carnitas Burrito,11.48
Steak Burrito,11.48
Steak Bowl,11.48
Steak Burrito,11.48
Carnitas Burrito,11.48
Steak Bowl,11.48
Steak Burrito,11.48
Steak Burrito,11.48
Steak Soft Tacos,11.48
Steak Bowl,11.48
Steak Burrito,11.48
Carnitas Bowl,11.48
Steak Burrito,11.48
Steak Burrito,11.48
Steak Bowl,11.48
Steak Burrito,11.48
Carnitas Bowl,11.48
Steak Burrito,11.48
Steak Burrito,11.48
Steak Burrito,11.48
Barbacoa Bowl,11.48
Barbacoa Bowl,11.48
Barbacoa Bowl,11.48
Steak Burrito,11.48
Steak Soft Tacos,11.48
Carnitas Bowl,11.48
Steak Burrito,11.48
Barbacoa Crispy Tacos,11.48
Steak Bowl,11.48
Barbacoa Soft Tacos,11.48
Steak Burrito,11.48
Steak Bowl,11.48
Steak Burrito,11.48
Steak Burrito,11.48
Steak Bowl,11.48
Steak Burrito,11.48
Carnitas Bowl,11.48
Steak Soft Tacos,11.48
Barbacoa Bowl,11.48
Steak Burrito,11.48
Carnitas Bowl,11.48
Carnitas Bowl,11.48
Steak Bowl,11.48
Steak Bowl,11.48
Carnitas Bowl,11.48
Steak Burrito,11.48
Steak Bowl,11.48
Steak Burrito,11.48
Veggie Bowl,11.25
Chicken Salad Bowl,11.25
Chicken Burrito,11.25
Chicken Burrito,11.25
Chicken Salad Bowl,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Veggie Bowl,11.25
Chicken Salad Bowl,11.25
Chicken Bowl,11.25
Chicken Soft Tacos,11.25
Chicken Crispy Tacos,11.25
Veggie Bowl,11.25
Chicken Bowl,11.25
Veggie Salad Bowl,11.25
Chicken Salad Bowl,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Chicken Crispy Tacos,11.25
Chicken Bowl,11.25
Chicken Burrito,11.25
Chicken Burrito,11.25
Veggie Burrito,11.25
Chicken Burrito,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Chicken Burrito,11.25
Chicken Burrito,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Chicken Burrito,11.25
Veggie Burrito,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Veggie Bowl,11.25
Chicken Bowl,11.25
Veggie Bowl,11.25
Veggie Bowl,11.25
Chicken Crispy Tacos,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Chicken Burrito,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Chicken Crispy Tacos,11.25
Chicken Soft Tacos,11.25
Chicken Salad Bowl,11.25
Chicken Bowl,11.25
Veggie Burrito,11.25
Chicken Soft Tacos,11.25
Chicken Soft Tacos,11.25
Chicken Burrito,11.25
Chicken Salad Bowl,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Chicken Salad Bowl,11.25
Chicken Bowl,11.25
Chicken Soft Tacos,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Veggie Burrito,11.25
Veggie Burrito,11.25
Chicken Bowl,11.25
Chicken Burrito,11.25
Chicken Bowl,11.25
Chicken Burrito,11.25
Chicken Bowl,11.25
Chicken Burrito,11.25
Chicken Burrito,11.25
Chicken Burrito,11.25
Veggie Burrito,11.25
Chicken Salad Bowl,11.25
Chicken Soft Tacos,11.25
Chicken Soft Tacos,11.25
Veggie Burrito,11.25
Chicken Bowl,11.25
Chicken Salad Bowl,11.25
Chicken Burrito,11.25
Chicken Burrito,11.25
Chicken Burrito,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Chicken Burrito,11.25
Chicken Burrito,11.25
Chicken Burrito,11.25
Chicken Bowl,11.25
Chicken Crispy Tacos,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Chicken Burrito,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Veggie Bowl,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Chicken Salad Bowl,11.25
Chicken Salad Bowl,11.25
Chicken Burrito,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Chicken Burrito,11.25
Chicken Salad Bowl,11.25
Chicken Soft Tacos,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Chicken Burrito,11.25
Chicken Burrito,11.25
Chicken Bowl,11.25
Chicken Burrito,11.25
Veggie Bowl,11.25
Veggie Burrito,11.25
Chicken Bowl,11.25
Chicken Burrito,11.25
Chicken Salad Bowl,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Veggie Bowl,11.25
Veggie Bowl,11.25
Veggie Bowl,11.25
Veggie Bowl,11.25
Chicken Burrito,11.25
Chicken Burrito,11.25
Chicken Bowl,11.25
Chicken Burrito,11.25
Veggie Bowl,11.25
Chicken Salad Bowl,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Chicken Salad Bowl,11.25
Chicken Crispy Tacos,11.25
Chicken Bowl,11.25
Chicken Salad Bowl,11.25
Chicken Crispy Tacos,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Chicken Burrito,11.25
Veggie Burrito,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Veggie Salad Bowl,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Veggie Bowl,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Chicken Burrito,11.25
Chicken Soft Tacos,11.25
Chicken Burrito,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Chicken Salad Bowl,11.25
Chicken Bowl,11.25
Chicken Burrito,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Chicken Burrito,11.25
Chicken Burrito,11.25
Chicken Bowl,11.25
Chicken Burrito,11.25
Chicken Salad Bowl,11.25
Chicken Bowl,11.25
Veggie Burrito,11.25
Chicken Bowl,11.25
Chicken Salad Bowl,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Chicken Soft Tacos,11.25
Chicken Salad Bowl,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Veggie Bowl,11.25
Chicken Bowl,11.25
Chicken Soft Tacos,11.25
Chicken Bowl,11.25
Veggie Burrito,11.25
Veggie Burrito,11.25
Veggie Bowl,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Chicken Burrito,11.25
Veggie Bowl,11.25
Veggie Bowl,11.25
Chicken Burrito,11.25
Chicken Burrito,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Chicken Crispy Tacos,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Chicken Salad Bowl,11.25
Chicken Burrito,11.25
Chicken Soft Tacos,11.25
Chicken Burrito,11.25
Chicken Burrito,11.25
Chicken Bowl,11.25
Chicken Burrito,11.25
Chicken Bowl,11.25
Veggie Burrito,11.25
Chicken Burrito,11.25
Chicken Burrito,11.25
Chicken Burrito,11.25
Chicken Burrito,11.25
Chicken Bowl,11.25
Chicken Burrito,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Chicken Burrito,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Chicken Salad Bowl,11.25
Chicken Burrito,11.25
Chicken Burrito,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Chicken Burrito,11.25
Chicken Bowl,11.25
Veggie Burrito,11.25
Chicken Burrito,11.25
Chicken Burrito,11.25
Chicken Burrito,11.25
Chicken Bowl,11.25
Chicken Salad Bowl,11.25
Chicken Bowl,11.25
Chicken Burrito,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Chicken Salad Bowl,11.25
Chicken Salad Bowl,11.25
Chicken Bowl,11.25
Chicken Burrito,11.25
Chicken Burrito,11.25
Chicken Bowl,11.25
Chicken Salad Bowl,11.25
Chicken Bowl,11.25
Veggie Burrito,11.25
Chicken Burrito,11.25
Veggie Soft Tacos,11.25
Chicken Burrito,11.25
Chicken Burrito,11.25
Chicken Burrito,11.25
Chicken Burrito,11.25
Chicken Burrito,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Veggie Burrito,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Veggie Bowl,11.25
Chicken Burrito,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Veggie Bowl,11.25
Chicken Burrito,11.25
Chicken Bowl,11.25
Veggie Burrito,11.25
Chicken Bowl,11.25
Chicken Soft Tacos,11.25
Chicken Soft Tacos,11.25
Chicken Burrito,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Chicken Burrito,11.25
Chicken Bowl,11.25
Chicken Burrito,11.25
Chicken Bowl,11.25
Chicken Salad Bowl,11.25
Chicken Crispy Tacos,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Chicken Burrito,11.25
Veggie Bowl,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Chicken Burrito,11.25
Veggie Bowl,11.25
Chicken Salad Bowl,11.25
Veggie Burrito,11.25
Veggie Burrito,11.25
Veggie Bowl,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Veggie Burrito,11.25
Chicken Burrito,11.25
Chicken Bowl,11.25
Chicken Burrito,11.25
Chicken Crispy Tacos,11.25
Chicken Burrito,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Chicken Burrito,11.25
Chicken Bowl,11.25
Chicken Burrito,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Veggie Salad Bowl,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Veggie Salad Bowl,11.25
Chicken Soft Tacos,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Veggie Burrito,11.25
Chicken Burrito,11.25
Chicken Burrito,11.25
Chicken Burrito,11.25
Chicken Burrito,11.25
Chicken Bowl,11.25
Chicken Burrito,11.25
Veggie Salad Bowl,11.25
Chicken Bowl,11.25
Chicken Burrito,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Chicken Burrito,11.25
Veggie Burrito,11.25
Chicken Burrito,11.25
Chicken Burrito,11.25
Chicken Burrito,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Chicken Soft Tacos,11.25
Chicken Bowl,11.25
Chicken Burrito,11.25
Chicken Bowl,11.25
Veggie Bowl,11.25
Chicken Soft Tacos,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Chicken Burrito,11.25
Chicken Bowl,11.25
Veggie Bowl,11.25
Chicken Crispy Tacos,11.25
Chicken Burrito,11.25
Chicken Salad Bowl,11.25
Chicken Burrito,11.25
Chicken Burrito,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Chicken Burrito,11.25
Chicken Bowl,11.25
Chicken Salad Bowl,11.25
Chicken Burrito,11.25
Chicken Burrito,11.25
Veggie Bowl,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Chicken Burrito,11.25
Veggie Bowl,11.25
Chicken Bowl,11.25
Chicken Crispy Tacos,11.25
Chicken Soft Tacos,11.25
Chicken Burrito,11.25
Veggie Salad Bowl,11.25
Chicken Burrito,11.25
Chicken Bowl,11.25
Chicken Salad Bowl,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Chicken Burrito,11.25
Veggie Salad Bowl,11.25
Veggie Bowl,11.25
Chicken Salad Bowl,11.25
Veggie Bowl,11.25
Veggie Bowl,11.25
Chicken Burrito,11.25
Chicken Bowl,11.25
Chicken Salad Bowl,11.25
Chicken Burrito,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Veggie Burrito,11.25
Veggie Bowl,11.25
Veggie Bowl,11.25
Veggie Bowl,11.25
Chicken Salad Bowl,11.25
Chicken Bowl,11.25
Chicken Salad Bowl,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Veggie Burrito,11.25
Chicken Burrito,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Chicken Burrito,11.25
Chicken Bowl,11.25
Chicken Burrito,11.25
Chicken Burrito,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Chicken Salad Bowl,11.25
Chicken Crispy Tacos,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Chicken Burrito,11.25
Chicken Bowl,11.25
Chicken Burrito,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Chicken Burrito,11.25
Chicken Burrito,11.25
Chicken Salad Bowl,11.25
Chicken Salad Bowl,11.25
Chicken Burrito,11.25
Veggie Bowl,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Chicken Burrito,11.25
Chicken Bowl,11.25
Veggie Burrito,11.25
Veggie Bowl,11.25
Chicken Burrito,11.25
Chicken Salad Bowl,11.25
Chicken Burrito,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Veggie Salad Bowl,11.25
Veggie Burrito,11.25
Veggie Burrito,11.25
Veggie Burrito,11.25
Chicken Bowl,11.25
Chicken Burrito,11.25
Chicken Soft Tacos,11.25
Chicken Burrito,11.25
Chicken Burrito,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Veggie Burrito,11.25
Chicken Burrito,11.25
Veggie Burrito,11.25
Chicken Burrito,11.25
Veggie Salad Bowl,11.25
Chicken Soft Tacos,11.25
Veggie Bowl,11.25
Veggie Burrito,11.25
Chicken Burrito,11.25
Veggie Bowl,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Veggie Soft Tacos,11.25
Veggie Bowl,11.25
Chicken Burrito,11.25
Chicken Bowl,11.25
Chicken Burrito,11.25
Chicken Bowl,11.25
Chicken Bowl,11.25
Chicken Burrito,11.25
Veggie Bowl,11.25
Chicken Burrito,11.25
Chicken Burrito,11.25
Chicken Burrito,11.25
Chicken Bowl,11.25
Chicken Burrito,11.25
Chicken Salad Bowl,11.25
Veggie Salad Bowl,11.25
Chicken Bowl,11.25
Chicken Crispy Tacos,11.25
Chicken Bowl,11.25
Chicken Soft Tacos,11.25
Veggie Bowl,11.25
Chicken Bowl,11.25
Chicken Burrito,11.25
Chicken Burrito,11.25
Chicken Bowl,11.25
Veggie Burrito,11.25
Chicken Salad Bowl,11.25
Veggie Bowl,11.25
Chicken Burrito,11.25
Chicken Burrito,11.25
Chicken Soft Tacos,11.25
Carnitas Burrito,11.08
Steak Burrito,11.08
Barbacoa Burrito,11.08
Steak Burrito,11.08
Steak Bowl,11.08
Carnitas Bowl,11.08
Carnitas Bowl,11.08
Steak Burrito,11.08
Steak Bowl,11.08
Carnitas Bowl,11.08
Chicken Bowl,10.98
Chicken Burrito,10.98
Chicken Burrito,10.98
Chicken Burrito,10.98
Chicken Burrito,10.98
Chicken Bowl,10.98
Veggie Bowl,10.98
Chicken Bowl,10.98
Chicken Bowl,10.98
Chicken Burrito,10.98
Chicken Salad,10.98
